species,wlcent,gflog,excit,j_lo,e_upp,j_up,lande_lower,lande_upper,lande,gamrad,gamqst,gamvw,depth,reference,term_lower,term_upper,error,atom_number,ionization
V 1,4730.3967,-1.3259999999999998,1.9451691077502025,2.5,4.565446694482108,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
Mn 2,4730.4005,-3.451,5.373387901795589,2.0,7.993663365918034,3.0,1.11,0.91,0.71,8.44,-6.5,-7.89,0.002,"_          Kurucz MnII 2009  71 wl:K09  71 gf:K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09   hfs:HSR,TNPB Mn+",3d5.(2D).4s c3D,3d5.(4G).4p z5G*,0.5,1.0,2.0
V 1,4730.4007,-1.524,1.9451640477071352,2.5,4.565439415741827,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
Mn 2,4730.4015,-3.286,5.373391187872759,2.0,7.993666088611011,3.0,1.11,0.91,0.71,8.44,-6.5,-7.89,0.002,"_          Kurucz MnII 2009  71 wl:K09  71 gf:K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09   hfs:HSR,TNPB Mn+",3d5.(2D).4s c3D,3d5.(4G).4p z5G*,0.5,1.0,2.0
Mn 2,4730.4032,-3.2,5.373396659295393,2.0,7.993670626432638,3.0,1.11,0.91,0.71,8.44,-6.5,-7.89,0.002,"_          Kurucz MnII 2009  71 wl:K09  71 gf:K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09   hfs:HSR,TNPB Mn+",3d5.(2D).4s c3D,3d5.(4G).4p z5G*,0.5,1.0,2.0
V 1,4730.4043,-1.7790000000000001,1.9451602534187404,2.5,4.565433592700009,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
Mn 2,4730.4055,-3.21,5.373404308500456,2.0,7.9936769795069,3.0,1.11,0.91,0.71,8.44,-6.5,-7.89,0.002,"_          Kurucz MnII 2009  71 wl:K09  71 gf:K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09   hfs:HSR,TNPB Mn+",3d5.(2D).4s c3D,3d5.(4G).4p z5G*,0.5,1.0,2.0
V 1,4730.406,-1.861,1.9451830288198786,2.5,4.565455429044836,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
Mn 2,4730.4064,-3.995,5.373391187872759,2.0,7.993663365918034,3.0,1.11,0.91,0.71,8.44,-6.5,-7.89,0.002,"_          Kurucz MnII 2009  71 wl:K09  71 gf:K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09  71 K09   hfs:HSR,TNPB Mn+",3d5.(2D).4s c3D,3d5.(4G).4p z5G*,0.5,1.0,2.0
V 1,4730.4076,-2.167,1.9451577242650961,2.5,4.565429225356652,3.5,1.05,1.06,1.07,7.63,-6.11,-7.79,0.8220000000000001,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,GYDE V",3d4.(3F2).4s b4F,3d3.(2H).4s.4p.(3P*) w4G*,0.5,1.0,1.0
